Round,Aggregated Test Loss,Aggregated Test Acc
1,5.2776,0.0101
2,5.0979,0.02
3,4.9418,0.0287
4,4.7748,0.0432
5,4.6846,0.0555
6,4.6213,0.0635
7,4.5696,0.0709
8,4.5529,0.0774
9,4.5017,0.0845
10,4.4825,0.0857
11,4.4528,0.0933
12,4.4422,0.0931
13,4.4104,0.0978
14,4.3748,0.1029
15,4.3843,0.1019
16,4.3644,0.1033
17,4.3642,0.1111
18,4.354,0.1089
19,4.3507,0.1104
20,4.3339,0.1113
21,4.3251,0.1142
22,4.3072,0.1155
23,4.3116,0.1188
24,4.3163,0.1197
25,4.3149,0.1229
26,4.3167,0.1205
27,4.3006,0.1237
28,4.2834,0.1253
29,4.2982,0.1269
30,4.2871,0.1279
31,4.2872,0.1299
32,4.2877,0.1309
33,4.2909,0.1293
34,4.2799,0.1343
35,4.2798,0.1343
36,4.2913,0.1337
37,4.2882,0.1329
38,4.2899,0.1374
39,4.2806,0.1362
40,4.2798,0.1367
41,4.2739,0.1384
42,4.2675,0.1385
43,4.2732,0.1397
44,4.2685,0.1402
45,4.2662,0.1398
46,4.2782,0.1396
47,4.2741,0.1411
48,4.2795,0.1447
49,4.2862,0.1443
50,4.2717,0.1461
51,4.273,0.1451
52,4.2851,0.1441
53,4.2877,0.1467
54,4.2779,0.1472
55,4.2696,0.1463
56,4.2791,0.1483
57,4.2856,0.1458
58,4.2858,0.1469
59,4.2861,0.1471
60,4.2956,0.1478
61,4.2847,0.1495
62,4.2808,0.1432
63,4.291,0.1439
64,4.2863,0.1469
65,4.2959,0.1449
66,4.2878,0.1458
67,4.2847,0.1471
68,4.286,0.145
69,4.2903,0.1454
70,4.2933,0.1465
71,4.2929,0.1447
72,4.2969,0.1443
73,4.2981,0.1477
74,4.2978,0.1502
75,4.3009,0.1488
76,4.2927,0.1515
77,4.2973,0.1499
78,4.3016,0.1504
79,4.2995,0.1483
80,4.31,0.1483
81,4.3161,0.1492
82,4.3018,0.1473
83,4.3109,0.1476
84,4.307,0.1472
85,4.3156,0.1467
86,4.318,0.1456
87,4.3055,0.1481
88,4.3087,0.1458
89,4.3078,0.15
90,4.3174,0.1506
91,4.3239,0.1508
92,4.323,0.1514
93,4.3215,0.1507
94,4.3138,0.1489
95,4.3101,0.1495
96,4.3146,0.1512
97,4.315,0.1493
98,4.3093,0.1516
99,4.3163,0.1513
100,4.3225,0.1501
101,4.3171,0.1495
102,4.3164,0.1543
103,4.3171,0.1521
104,4.3228,0.1543
105,4.3318,0.1508
106,4.3276,0.1519
107,4.3276,0.152
108,4.3261,0.1523
109,4.3277,0.1543
110,4.3299,0.1535
111,4.3317,0.1524
112,4.3313,0.153
113,4.328,0.1536
